England and Wales Code,England and Wales,Country of birth (extended) (190 categories) Code,Country of birth (extended) (190 categories),Passports held (52 categories) Code,Passports held (52 categories),Observation
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,1,Europe: United Kingdom,0
K04000001,England and Wales,-8,Does not apply,2,Europe: Ireland,0
K04000001,England and Wales,-8,Does not apply,3,Europe: Other Europe: EU Member countries: France,0
K04000001,England and Wales,-8,Does not apply,4,Europe: Other Europe: EU Member countries: Germany,0
K04000001,England and Wales,-8,Does not apply,5,Europe: Other Europe: EU Member countries: Italy,0
K04000001,England and Wales,-8,Does not apply,6,Europe: Other Europe: EU Member countries: Portugal,0
K04000001,England and Wales,-8,Does not apply,7,Europe: Other Europe: EU Member countries: Spain,0
K04000001,England and Wales,-8,Does not apply,8,Europe: Other Europe: EU Member countries: Lithuania,0
K04000001,England and Wales,-8,Does not apply,9,Europe: Other Europe: EU Member countries: Poland,0
K04000001,England and Wales,-8,Does not apply,10,Europe: Other Europe: EU Member countries: Romania,0
K04000001,England and Wales,-8,Does not apply,11,Europe: Other Europe: EU Member countries: Other EU countries,0
K04000001,England and Wales,-8,Does not apply,12,Europe: Other Europe: Rest of Europe: Turkey,0
K04000001,England and Wales,-8,Does not apply,13,Europe: Other Europe: Rest of Europe: Other Europe,0
K04000001,England and Wales,-8,Does not apply,14,Africa: North Africa,0
K04000001,England and Wales,-8,Does not apply,15,Africa: Central and Western Africa: Ghana,0
K04000001,England and Wales,-8,Does not apply,16,Africa: Central and Western Africa: Nigeria,0
K04000001,England and Wales,-8,Does not apply,17,Africa: Central and Western Africa: Other Central and Western Africa,0
K04000001,England and Wales,-8,Does not apply,18,Africa: South and Eastern Africa: Kenya,0
K04000001,England and Wales,-8,Does not apply,19,Africa: South and Eastern Africa: Somalia,0
K04000001,England and Wales,-8,Does not apply,20,Africa: South and Eastern Africa: South Africa,0
